ExperimentTitle,SampleName,SampleDescription,SequencingDate,FileName,FileLocation
Populus ERF85 mediates the transition between xylem cell expansion and secondary cell wall formation in hybrid aspen,250.2,ERF85 OE biological replicate 1 (line 2),2018-03-29T10:00:00,P10065_104_S83_L007_1.fastq.gz,/mnt/picea/projects/aspseq/jfelten/ERF2018-2/raw
Populus ERF85 mediates the transition between xylem cell expansion and secondary cell wall formation in hybrid aspen,250.2,ERF85 OE biological replicate 1 (line 2),2018-03-29T10:00:00,P10065_104_S83_L007_2.fastq.gz,/mnt/picea/projects/aspseq/jfelten/ERF2018-2/raw
Populus ERF85 mediates the transition between xylem cell expansion and secondary cell wall formation in hybrid aspen,250.5,ERF85 OE biological replicate 2 (line 5),2018-07-19T10:00:00,P10805_101_S6_L001_1.fastq.gz,/mnt/picea/projects/aspseq/jfelten/ERF2018-2/raw
Populus ERF85 mediates the transition between xylem cell expansion and secondary cell wall formation in hybrid aspen,250.5,ERF85 OE biological replicate 2 (line 5),2018-07-19T10:00:00,P10805_101_S6_L001_2.fastq.gz,/mnt/picea/projects/aspseq/jfelten/ERF2018-2/raw
Populus ERF85 mediates the transition between xylem cell expansion and secondary cell wall formation in hybrid aspen,250.9,ERF85 OE biological replicate 3 (line 9),2018-07-19T10:00:00,P10805_102_S7_L001_1.fastq.gz,/mnt/picea/projects/aspseq/jfelten/ERF2018-2/raw
Populus ERF85 mediates the transition between xylem cell expansion and secondary cell wall formation in hybrid aspen,250.9,ERF85 OE biological replicate 3 (line 9),2018-07-19T10:00:00,P10805_102_S7_L001_2.fastq.gz,/mnt/picea/projects/aspseq/jfelten/ERF2018-2/raw
Populus ERF85 mediates the transition between xylem cell expansion and secondary cell wall formation in hybrid aspen,T89.1,T89 WT biological replicate 1,2018-03-29T10:00:00,P10065_101_S80_L007_1.fastq.gz,/mnt/picea/projects/aspseq/jfelten/ERF2018-2/raw
Populus ERF85 mediates the transition between xylem cell expansion and secondary cell wall formation in hybrid aspen,T89.1,T89 WT biological replicate 1,2018-03-29T10:00:00,P10065_101_S80_L007_2.fastq.gz,/mnt/picea/projects/aspseq/jfelten/ERF2018-2/raw
Populus ERF85 mediates the transition between xylem cell expansion and secondary cell wall formation in hybrid aspen,T89.2,T89 WT biological replicate 2,2018-03-29T10:00:00,P10065_102_S81_L007_1.fastq.gz,/mnt/picea/projects/aspseq/jfelten/ERF2018-2/raw
Populus ERF85 mediates the transition between xylem cell expansion and secondary cell wall formation in hybrid aspen,T89.2,T89 WT biological replicate 2,2018-03-29T10:00:00,P10065_102_S81_L007_2.fastq.gz,/mnt/picea/projects/aspseq/jfelten/ERF2018-2/raw
Populus ERF85 mediates the transition between xylem cell expansion and secondary cell wall formation in hybrid aspen,T89.3,T89 WT biological replicate 3,2018-03-29T10:00:00,P10065_103_S82_L007_1.fastq.gz,/mnt/picea/projects/aspseq/jfelten/ERF2018-2/raw
Populus ERF85 mediates the transition between xylem cell expansion and secondary cell wall formation in hybrid aspen,T89.3,T89 WT biological replicate 3,2018-03-29T10:00:00,P10065_103_S82_L007_2.fastq.gz,/mnt/picea/projects/aspseq/jfelten/ERF2018-2/raw